Country Name,Capital,Country Name in Capital,Continent,Region,Population #,Largest Country,Landlocked,Primary Religion,Countries on the equator,Island Nation,Borders China,Borders Russia,Number of Bordering Countries,To Host Olympics,World Cup Winner,NATO Member,Image Url
Bulgaria,Sofia,No,Europe,Eastern Europe,108,103,No,Chirstianity,No,No,No,No,5,No,No,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/500px-Flag_of_Bulgaria.svg.png
Burkina Faso,Ouagadougou,No,Africa,Western Africa,59,74,Yes,Islam,No,No,No,No,6,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Burkina_Faso.svg/500px-Flag_of_Burkina_Faso.svg.png
Burundi,Gitega,No,Africa,Eastern Africa,77,142,Yes,Chirstianity,No,No,No,No,3,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Burundi.svg/500px-Flag_of_Burundi.svg.png
Cambodia,Phnom Penh,No,Asia,South-eastern Asia,72,88,No,Buddhism,No,No,No,No,3,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_Cambodia.svg/500px-Flag_of_Cambodia.svg.png
Cameroon,Yaoundé,No,Africa,Central Africa,51,53,No,Chirstianity,No,No,No,No,6,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/500px-Flag_of_Cameroon.svg.png
Canada,Ottawa,No,North America,,38,2,No,Chirstianity,No,No,No,No,2,Yes,No,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/500px-Flag_of_Canada_%28Pantone%29.svg.png
Cape Verde,Praia,No,Africa,Western Africa,168,166,No,Chirstianity,No,Yes,No,No,0,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/500px-Flag_of_Cape_Verde.svg.png
Central African Republic,Bangui,No,Africa,Central Africa,119,42,Yes,Chirstianity,No,No,No,No,6,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Central_African_Republic.svg/500px-Flag_of_the_Central_African_Republic.svg.png
Chad,N'Djamena,No,Africa,Central Africa,63,20,Yes,Islam,No,No,No,No,6,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Flag_of_Chad.svg/500px-Flag_of_Chad.svg.png
Chile,Santiago,No,South America,,65,37,No,Chirstianity,No,No,No,No,3,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/500px-Flag_of_Chile.svg.png
China,Beijing,No,asia,Eastern Asia,2,3,No,Buddhism,No,No,No,No,13,Yes,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/500px-Flag_of_the_People%27s_Republic_of_China.svg.png
Colombia,Bogotá,No,South America,,28,25,No,Chirstianity,Yes,No,No,Yes,5,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/500px-Flag_of_Colombia.svg.png
Comoros,Moroni,No,africa,Eastern Africa,159,170,No,Islam,No,Yes,No,No,0,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Flag_of_the_Comoros.svg/500px-Flag_of_the_Comoros.svg.png
Democratic Republic of the Congo,Kinshasa,No,africa,Central Africa,15,11,No,Chirstianity,Yes,No,No,No,9,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/500px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png
Republic of the Congo,Brazzaville,No,Africa,Central Africa,110,64,No,Chirstianity,Yes,No,No,No,5,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/500px-Flag_of_the_Republic_of_the_Congo.svg.png
Costa Rica,San José,No,North America,Central America,125,126,No,Chirstianity,No,No,No,No,2,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Costa_Rica.svg/500px-Flag_of_Costa_Rica.svg.png
Croatia,Zagreb,No,Europe,Southern Europe,128,124,No,Chirstianity,No,No,No,No,5,No,No,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/500px-Flag_of_Croatia.svg.png
Cuba,Havana,No,North America,Caribbean,87,104,No,Chirstianity,No,Yes,No,No,0,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/500px-Flag_of_Cuba.svg.png
Cyprus,Nicosia,No,Europe,Western Asia,153,162,No,Chirstianity,No,Yes,No,No,0,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/500px-Flag_of_Cyprus.svg.png
Czech Republic,Prague,No,Europe,Eastern Europe,91,115,Yes,Chirstianity,No,No,No,No,4,No,No,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/500px-Flag_of_the_Czech_Republic.svg.png
Denmark,Copenhagen,No,Europe,Northern Europe,112,130,No,Chirstianity,No,No,No,No,1,No,No,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/500px-Flag_of_Denmark.svg.png
Djibouti,Djibouti,Yes,Africa,Eastern Africa,157,146,No,Islam,No,No,No,No,3,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_Djibouti.svg/500px-Flag_of_Djibouti.svg.png
Dominica,Roseau,No,North America,Caribbean,186,174,No,Chirstianity,No,Yes,No,No,0,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Dominica.svg/500px-Flag_of_Dominica.svg.png
Dominican Republic,Santo Domingo,Yes,North America,Caribbean,84,128,No,Chirstianity,No,Yes,No,No,1,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/500px-Flag_of_the_Dominican_Republic.svg.png
Ecuador,Quito,No,South America,,71,73,No,Chirstianity,Yes,No,No,No,2,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/500px-Flag_of_Ecuador.svg.png
Egypt,Cairo,No,Africa,North Africa,13,29,No,Islam,No,No,No,No,4,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/500px-Flag_of_Egypt.svg.png
El Salvador,San Salvador,Yes,North America,Central America,111,148,No,Chirstianity,No,No,No,No,2,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_El_Salvador.svg/500px-Flag_of_El_Salvador.svg.png
